aphiaid,species,ecoregion,taxon
151802,acipenser oxyrinchus,baltic sea,fish
126279,acipenser sturio,greater north sea,fish
126279,acipenser sturio,celtic seas,fish
126279,acipenser sturio,bay of biscay and the iberian coast,fish
105807,apristurus laurussonii,greenland sea,fish
105807,apristurus laurussonii,icelandic waters,fish
105807,apristurus laurussonii,faroes,fish
105807,apristurus laurussonii,celtic seas,fish
105807,apristurus laurussonii,oceanic northeast atlantic,fish
137128,alca torda,barents sea,birds
137128,alca torda,norwegian sea,birds
137128,alca torda,faroes,birds
137128,alca torda,icelandic waters,birds
137128,alca torda,greenland sea,birds
137128,alca torda,oceanic northeast atlantic,birds
137128,alca torda,bay of biscay and the iberian coast,birds
137128,alca torda,celtic seas,birds
137128,alca torda,greater north sea,birds
137128,alca torda,baltic sea,birds
105863,amblyraja hyperborea,arcticocean,fish
105863,amblyraja hyperborea,greenland sea,fish
105863,amblyraja hyperborea,barents sea,fish
105863,amblyraja hyperborea,norwegian sea,fish
105863,amblyraja hyperborea,icelandic waters,fish
105863,amblyraja hyperborea,faroes,fish
105865,amblyraja radiata,greenland sea,fish
105865,amblyraja radiata,faroes,fish
105865,amblyraja radiata,celtic seas,fish
126682,alepocephalus bairdii,greenland sea,fish
126682,alepocephalus bairdii,faroes,fish
126682,alepocephalus bairdii,celtic seas,fish
126682,alepocephalus bairdii,oceanic northeast atlantic,fish
126682,alepocephalus bairdii,bay of biscay and the iberian coast,fish
137129,alle alle,barents sea,birds
137129,alle alle,norwegian sea,birds
137129,alle alle,faroes,birds
137129,alle alle,icelandic waters,birds
137129,alle alle,greenland sea,birds
137129,alle alle,arcticocean,birds
137129,alle alle,oceanic northeast atlantic,birds
137129,alle alle,celtic seas,birds
137129,alle alle,greater north sea,birds
126757,anarhichas denticulatus,greenland sea,fish
126757,anarhichas denticulatus,barents sea,fish
126757,anarhichas denticulatus,norwegian sea,fish
126757,anarhichas denticulatus,icelandic waters,fish
126757,anarhichas denticulatus,faroes,fish
126757,anarhichas denticulatus,oceanic northeast atlantic,fish
126758,anarhichas lupus,greenland sea,fish
126758,anarhichas lupus,barents sea,fish
126758,anarhichas lupus,norwegian sea,fish
126758,anarhichas lupus,faroes,fish
126758,anarhichas lupus,baltic sea,fish
126758,anarhichas lupus,greater north sea,fish
126758,anarhichas lupus,celtic seas,fish
126758,anarhichas lupus,oceanic northeast atlantic,fish
126759,anarhichas minor,greenland sea,fish
126759,anarhichas minor,barents sea,fish
126759,anarhichas minor,norwegian sea,fish
126759,anarhichas minor,faroes,fish
126759,anarhichas minor,greater north sea,fish
126759,anarhichas minor,celtic seas,fish
126759,anarhichas minor,oceanic northeast atlantic,fish
126413,alosa alosa,baltic sea,fish
126413,alosa alosa,greater north sea,fish
126413,alosa alosa,celtic seas,fish
126413,alosa alosa,bay of biscay and the iberian coast,fish
126415,alosa fallax,icelandic waters,fish
126415,alosa fallax,faroes,fish
126415,alosa fallax,baltic sea,fish
126415,alosa fallax,greater north sea,fish
126415,alosa fallax,celtic seas,fish
126415,alosa fallax,bay of biscay and the iberian coast,fish
105727,apristurus,greenland sea,fish
105727,apristurus,icelandic waters,fish
105727,apristurus,faroes,fish
105727,apristurus,celtic seas,fish
105727,apristurus,oceanic northeast atlantic,fish
105727,apristurus,azores,fish
