ecoregion;metierl4;species;model;bpue;lwr;upr;replicates;base_model_heterogeneity;alternative_models_flag
"baltic sea";"gns";"acipenser oxyrinchus";"n_ind ~ 1";0.0207330171973396;0.0064418951117855;0.0667285006424201;412;FALSE;FALSE
"baltic sea";"fpo";"acipenser oxyrinchus";"none";NA;NA;NA;61;NA;FALSE
"baltic sea";"otm";"acipenser oxyrinchus";"none";NA;NA;NA;140;NA;FALSE
"baltic sea";"otb";"acipenser oxyrinchus";"none";NA;NA;NA;159;NA;FALSE
"baltic sea";"fpn";"acipenser oxyrinchus";"none";NA;NA;NA;19;NA;FALSE
"baltic sea";"fyk";"acipenser oxyrinchus";"none";NA;NA;NA;40;NA;FALSE
"baltic sea";"lls";"acipenser oxyrinchus";"none";NA;NA;NA;8;NA;FALSE
"baltic sea";"lld";"acipenser oxyrinchus";"none";NA;NA;NA;21;NA;FALSE
"baltic sea";"gtr";"acipenser oxyrinchus";"none";NA;NA;NA;73;NA;FALSE
"baltic sea";"ptm";"acipenser oxyrinchus";"none";NA;NA;NA;9;NA;FALSE
"baltic sea";"sdn";"acipenser oxyrinchus";"none";NA;NA;NA;4;NA;FALSE
"baltic sea";"ssc";"acipenser oxyrinchus";"none";NA;NA;NA;3;NA;FALSE
"baltic sea";"ott";"acipenser oxyrinchus";"none";NA;NA;NA;1;NA;FALSE
"baltic sea";"gnd";"acipenser oxyrinchus";"none";NA;NA;NA;1;NA;FALSE
"greater north sea";"otb";"acipenser sturio";"none";NA;NA;NA;897;NA;FALSE
"greater north sea";"gnd";"acipenser sturio";"none";NA;NA;NA;59;NA;FALSE
"greater north sea";"gns";"acipenser sturio";"none";NA;NA;NA;392;NA;FALSE
"greater north sea";"ott";"acipenser sturio";"none";NA;NA;NA;333;NA;FALSE
"greater north sea";"tbb";"acipenser sturio";"none";NA;NA;NA;307;NA;FALSE
"greater north sea";"otm";"acipenser sturio";"none";NA;NA;NA;214;NA;FALSE
"greater north sea";"lhm";"acipenser sturio";"none";NA;NA;NA;44;NA;FALSE
"greater north sea";"gtr";"acipenser sturio";"none";NA;NA;NA;220;NA;FALSE
"greater north sea";"ptm";"acipenser sturio";"none";NA;NA;NA;26;NA;FALSE
"greater north sea";"sdn";"acipenser sturio";"none";NA;NA;NA;52;NA;FALSE
"greater north sea";"fpo";"acipenser sturio";"none";NA;NA;NA;80;NA;FALSE
"greater north sea";"lhp";"acipenser sturio";"none";NA;NA;NA;43;NA;FALSE
"greater north sea";"lls";"acipenser sturio";"none";NA;NA;NA;34;NA;FALSE
"greater north sea";"ps";"acipenser sturio";"none";NA;NA;NA;33;NA;FALSE
"greater north sea";"drb";"acipenser sturio";"none";NA;NA;NA;34;NA;FALSE
"greater north sea";"ssc";"acipenser sturio";"none";NA;NA;NA;47;NA;FALSE
"greater north sea";"ptb";"acipenser sturio";"none";NA;NA;NA;29;NA;FALSE
"greater north sea";"ltl";"acipenser sturio";"none";NA;NA;NA;11;NA;FALSE
"greater north sea";"fyk";"acipenser sturio";"none";NA;NA;NA;10;NA;FALSE
"greater north sea";"mis";"acipenser sturio";"none";NA;NA;NA;6;NA;FALSE
"greater north sea";"spr";"acipenser sturio";"none";NA;NA;NA;1;NA;FALSE
"greater north sea";"gtn";"acipenser sturio";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"gns";"acipenser sturio";"none";NA;NA;NA;234;NA;FALSE
"celtic seas";"otb";"acipenser sturio";"none";NA;NA;NA;533;NA;FALSE
"celtic seas";"gnd";"acipenser sturio";"none";NA;NA;NA;21;NA;FALSE
"celtic seas";"gtr";"acipenser sturio";"none";NA;NA;NA;134;NA;FALSE
"celtic seas";"ott";"acipenser sturio";"none";NA;NA;NA;139;NA;FALSE
"celtic seas";"tbb";"acipenser sturio";"none";NA;NA;NA;184;NA;FALSE
"celtic seas";"ssc";"acipenser sturio";"none";NA;NA;NA;46;NA;FALSE
"celtic seas";"ptm";"acipenser sturio";"none";NA;NA;NA;71;NA;FALSE
"celtic seas";"lhp";"acipenser sturio";"none";NA;NA;NA;9;NA;FALSE
"celtic seas";"otm";"acipenser sturio";"none";NA;NA;NA;128;NA;FALSE
"celtic seas";"ps";"acipenser sturio";"none";NA;NA;NA;35;NA;FALSE
"celtic seas";"lls";"acipenser sturio";"none";NA;NA;NA;18;NA;FALSE
"celtic seas";"lld";"acipenser sturio";"none";NA;NA;NA;0;NA;FALSE
"celtic seas";"drb";"acipenser sturio";"none";NA;NA;NA;14;NA;FALSE
"celtic seas";"lhm";"acipenser sturio";"none";NA;NA;NA;2;NA;FALSE
"celtic seas";"ptb";"acipenser sturio";"none";NA;NA;NA;8;NA;FALSE
"celtic seas";"ltl";"acipenser sturio";"none";NA;NA;NA;1;NA;FALSE
"celtic seas";"fpo";"acipenser sturio";"none";NA;NA;NA;3;NA;FALSE
"celtic seas";"sdn";"acipenser sturio";"none";NA;NA;NA;2;NA;FALSE
"bay of biscay and the iberian coast";"gns";"acipenser sturio";"none";NA;NA;NA;365;NA;FALSE
"bay of biscay and the iberian coast";"gtn";"acipenser sturio";"none";NA;NA;NA;12;NA;FALSE
"bay of biscay and the iberian coast";"gtr";"acipenser sturio";"none";NA;NA;NA;283;NA;FALSE
"bay of biscay and the iberian coast";"ltl";"acipenser sturio";"none";NA;NA;NA;43;NA;FALSE
"bay of biscay and the iberian coast";"lls";"acipenser sturio";"none";NA;NA;NA;128;NA;FALSE
"bay of biscay and the iberian coast";"ptm";"acipenser sturio";"none";NA;NA;NA;121;NA;FALSE
"bay of biscay and the iberian coast";"otb";"acipenser sturio";"none";NA;NA;NA;439;NA;FALSE
"bay of biscay and the iberian coast";"ott";"acipenser sturio";"none";NA;NA;NA;104;NA;FALSE
"bay of biscay and the iberian coast";"ptb";"acipenser sturio";"none";NA;NA;NA;130;NA;FALSE
"bay of biscay and the iberian coast";"gnc";"acipenser sturio";"none";NA;NA;NA;38;NA;FALSE
"bay of biscay and the iberian coast";"gnd";"acipenser sturio";"none";NA;NA;NA;27;NA;FALSE
"bay of biscay and the iberian coast";"fpo";"acipenser sturio";"none";NA;NA;NA;99;NA;FALSE
"bay of biscay and the iberian coast";"ps";"acipenser sturio";"none";NA;NA;NA;160;NA;FALSE
"bay of biscay and the iberian coast";"lld";"acipenser sturio";"none";NA;NA;NA;19;NA;FALSE
"bay of biscay and the iberian coast";"sdn";"acipenser sturio";"none";NA;NA;NA;46;NA;FALSE
"bay of biscay and the iberian coast";"lhp";"acipenser sturio";"none";NA;NA;NA;53;NA;FALSE
"bay of biscay and the iberian coast";"otm";"acipenser sturio";"none";NA;NA;NA;19;NA;FALSE
"bay of biscay and the iberian coast";"mis";"acipenser sturio";"none";NA;NA;NA;17;NA;FALSE
"bay of biscay and the iberian coast";"tbb";"acipenser sturio";"none";NA;NA;NA;22;NA;FALSE
"bay of biscay and the iberian coast";"drb";"acipenser sturio";"none";NA;NA;NA;5;NA;FALSE
"bay of biscay and the iberian coast";"lhm";"acipenser sturio";"none";NA;NA;NA;24;NA;FALSE
"bay of biscay and the iberian coast";"sb";"acipenser sturio";"none";NA;NA;NA;5;NA;FALSE
"greenland sea";"otb";"apristurus laurussonii";"none";NA;NA;NA;21;NA;FALSE
"greenland sea";"otm";"apristurus laurussonii";"none";NA;NA;NA;3;NA;FALSE
"greenland sea";"ott";"apristurus laurussonii";"none";NA;NA;NA;1;NA;FALSE
"icelandic waters";"gns";"apristurus laurussonii";"none";NA;NA;NA;45;NA;FALSE
"icelandic waters";"otb";"apristurus laurussonii";"n_ind ~ 1";0.0391072112010892;0.00968813357648035;0.157860536898399;47;FALSE;TRUE
"icelandic waters";"lls";"apristurus laurussonii";"none";NA;NA;NA;36;NA;FALSE
"icelandic waters";"drb";"apristurus laurussonii";"none";NA;NA;NA;5;NA;FALSE
"icelandic waters";"otm";"apristurus laurussonii";"none";NA;NA;NA;23;NA;FALSE
